t,x_x,x_y,x_z,y_x_obs,y_z_obs
1.18,-7.27436379,-6.655955428,26.40300903,-11.56894185,26.07767719
1.19,-7.21814776,-6.712717555,26.18604817,-9.342976583,25.12716932
1.2,-7.173359257,-6.783353078,25.9759946,-8.927080813,25.78746949
1.21,-7.140199548,-6.867208805,25.77433512,-10.65565633,22.84024463
1.22,-7.118787943,-6.963618352,25.58249264,-2.860293719,23.00764748
1.23,-7.10916833,-7.071901467,25.40183181,-9.302739487,29.07565887
1.24,-7.111314885,-7.191360605,25.23366372,-1.301180546,22.89053046
1.25,-7.125136799,-7.321275098,25.07924945,-7.861634712,25.76236055
1.26,-7.150481893,-7.460893294,24.93980206,-3.693086604,22.96608791
1.27,-7.187139064,-7.609423037,24.81648678,-7.677694756,26.37116193
1.28,-7.234839522,-7.766020879,24.71041906,-6.365307373,23.95810692
1.29,-7.293256841,-7.92978044,24.62266045,-7.56090277,21.87286883
1.3,-7.362005875,-8.099720364,24.55421178,-7.838353363,24.0214368
1.31,-7.440640627,-8.274772351,24.50600379,-6.976300848,23.39534935
1.32,-7.528651214,-8.453769814,24.47888474,-6.585574168,26.50431638
1.33,-7.625460085,-8.635437752,24.4736052,-7.31460143,25.17711802
1.34,-7.730417734,-8.818384507,24.49079974,-7.624107039,24.49096853
1.35,-7.842798145,-9.001096137,24.53096583,-9.285914212,25.16395435
1.36,-7.961794301,-9.181934188,24.59443997,-8.156367498,28.78077659
1.37,-8.0865141,-9.359137698,24.68137168,-4.939804295,25.45306478
1.38,-8.215977097,-9.530830257,24.79169563,-9.742091517,22.56687269
1.39,-8.349112496,-9.695032944,24.92510309,-5.96682659,25.45060154
1.4,-8.484758884,-9.849683832,25.08101342,-7.524472077,21.59184145
1.41,-8.621666186,-9.992664638,25.25854721,-6.766789223,26.16738789
1.42,-8.75850033,-10.12183479,25.45650248,-10.9793617,24.51345286
1.43,-8.893851063,-10.23507289,25.67333571,-8.366416655,25.7782693
1.44,-9.026243324,-10.33032518,25.90714979,-9.610585695,25.70017325
1.45,-9.154152428,-10.40565992,26.1556906,-9.658107185,26.46081562
1.46,-9.27602323,-10.45932628,26.41635425,-6.333039284,21.28303737
1.47,-9.390293191,-10.48981566,26.68620648,-9.86399372,27.03923132
1.48,-9.495419102,-10.49592277,26.96201539,-8.903431122,26.21818623
1.49,-9.589906939,-10.47680336,27.24029803,-13.1033505,27.896289
1.5,-9.672344085,-10.43202539,27.51738051,-6.217643657,24.4496577
1.51,-9.741432889,-10.36161014,27.78947051,-8.013776862,27.13242007
1.52,-9.796024324,-10.26606,28.05274006,-9.918673016,25.94694304
1.53,-9.83515034,-10.14637036,28.30341545,-10.50406268,30.90350464
1.54,-9.858053417,-10.00402369,28.53787055,-8.692742933,32.00249376
1.55,-9.86421183,-9.840964786,28.75271907,-7.509388052,29.63089243
1.56,-9.853359269,-9.659557694,28.9449013,-6.365490217,29.82288762
1.57,-9.825497652,-9.462525838,29.11176069,-8.169521298,28.51861878
1.58,-9.780902323,-9.25287808,29.25110662,-9.647810691,27.85625897
1.59,-9.720119185,-9.033824525,29.36126004,-7.740951316,27.00465279
1.6,-9.643953777,-8.80868649,29.44108025,-8.079253092,29.05977813
1.61,-9.553452733,-8.580805396,29.48997206,-7.210958546,30.99171004
1.62,-9.449878469,-8.353455237,29.50787402,-5.808586153,30.9694234
1.63,-9.334678301,-8.129762834,29.49522939,-12.47875881,29.36132304
1.64,-9.209449428,-7.912639289,29.45294281,-11.55346381,28.41638313
1.65,-9.07590137,-7.704725081,29.38232588,-6.053444503,30.6573935
1.66,-8.935817472,-7.508350161,29.28503539,-10.33367833,27.25760066
1.67,-8.79101702,-7.325509321,29.16300807,-8.725452834,26.72988777
1.68,-8.64331933,-7.157852181,29.01839515,-9.985599884,29.64241409
1.69,-8.49451095,-7.006686328,28.85349969,-6.183886878,30.07102263
1.7,-8.346316846,-6.872991596,28.67071916,-12.92889586,29.27945262
1.71,-8.200376126,-6.757443165,28.47249471,-8.05630898,29.30027529
1.72,-8.058222602,-6.660441014,28.26126828,-4.825803239,24.13479172
1.73,-7.921270219,-6.582143344,28.03944773,-9.103477069,29.22126037
1.74,-7.790803148,-6.522501818,27.80938014,-10.95399195,30.76127824
1.75,-7.667970192,-6.481296719,27.57333247,-6.931256967,29.26650044
1.76,-7.553782999,-6.458170516,27.33347893,-8.695670322,28.96100631
1.77,-7.449117514,-6.452658669,27.09189418,-5.312174402,27.55765022
1.78,-7.354718059,-6.464216844,26.85055119,-6.885916273,27.39123767
1.79,-7.271203415,-6.492244036,26.61132287,-8.997893944,26.31626551
1.8,-7.19907432,-6.536101331,26.37598647,-7.504119385,27.1427742
1.81,-7.138721826,-6.59512627,26.14622985,-5.139073332,24.02915769
1.82,-7.090436013,-6.668642927,25.92365896,-7.340454074,28.88657006
1.83,-7.054414641,-6.755967923,25.70980571,-8.541591099,24.06530568
1.84,-7.030771364,-6.856412694,25.50613576,-6.62615898,27.19490614
